epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
40,0.0867,0.0576,0.03,0.1468,0.0803,0.1468,0.9886,1.0,1.0,0.9432,0.983,0.9432,0.25,0.25,0.25,0.25
41,0.0855,0.0607,0.0258,0.1379,0.0775,0.1379,0.9886,1.0,1.0,0.947,0.9839,0.947,0.25,0.25,0.25,0.25
42,0.0844,0.059,0.0259,0.1369,0.0765,0.1369,0.9883,1.0,1.0,0.9461,0.9836,0.9461,0.25,0.25,0.25,0.25
43,0.0802,0.0604,0.024,0.1374,0.0755,0.1374,0.9889,1.0,1.0,0.9442,0.9833,0.9442,0.25,0.25,0.25,0.25
44,0.0777,0.0515,0.024,0.1308,0.071,0.1308,0.9909,1.0,1.0,0.948,0.9847,0.948,0.25,0.25,0.25,0.25
45,0.0755,0.0515,0.023,0.1272,0.0693,0.1272,0.9894,1.0,1.0,0.948,0.9843,0.948,0.25,0.25,0.25,0.25
46,0.0731,0.0493,0.0226,0.1246,0.0674,0.1246,0.9923,1.0,1.0,0.9527,0.9862,0.9527,0.25,0.25,0.25,0.25
47,0.0715,0.045,0.0217,0.1191,0.0643,0.1191,0.992,1.0,1.0,0.9527,0.9862,0.9527,0.25,0.25,0.25,0.25
48,0.0721,0.0476,0.0218,0.1132,0.0637,0.1132,0.9906,1.0,1.0,0.9612,0.9879,0.9612,0.25,0.25,0.25,0.25
49,0.0686,0.0433,0.0168,0.1097,0.0596,0.1097,0.9917,1.0,1.0,0.9593,0.9878,0.9593,0.25,0.25,0.25,0.25
50,0.0679,0.0446,0.0185,0.1051,0.059,0.1051,0.9906,1.0,1.0,0.9555,0.9865,0.9555,0.25,0.25,0.25,0.25
51,0.0646,0.0409,0.0162,0.1033,0.0562,0.1033,0.9931,1.0,1.0,0.9593,0.9881,0.9593,0.25,0.25,0.25,0.25
52,0.0634,0.0401,0.0164,0.0984,0.0546,0.0984,0.9923,1.0,1.0,0.9603,0.9881,0.9603,0.25,0.25,0.25,0.25
