epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
40,0.507,0.4971,0.4692,0.5374,0.5027,0.5374,0.8819,0.8804,0.9107,0.8288,0.8755,0.8288,0.25,0.25,0.25,0.25
41,0.5039,0.491,0.4675,0.5328,0.4988,0.5328,0.8834,0.8804,0.9286,0.825,0.8793,0.825,0.25,0.25,0.25,0.25
42,0.4995,0.4944,0.4612,0.5313,0.4966,0.5313,0.8825,0.8913,0.875,0.8335,0.8706,0.8335,0.25,0.25,0.25,0.25
43,0.496,0.4904,0.4574,0.5271,0.4927,0.5271,0.8894,0.8696,0.9107,0.8316,0.8753,0.8316,0.25,0.25,0.25,0.25
44,0.4933,0.4865,0.452,0.5212,0.4882,0.5212,0.8899,0.8804,0.9107,0.8354,0.8791,0.8354,0.25,0.25,0.25,0.25
45,0.489,0.4823,0.442,0.52,0.4833,0.52,0.8902,0.8913,0.9464,0.8307,0.8897,0.8307,0.25,0.25,0.25,0.25
46,0.4847,0.4801,0.4465,0.5169,0.482,0.5169,0.8931,0.8859,0.9107,0.8411,0.8827,0.8411,0.25,0.25,0.25,0.25
47,0.481,0.477,0.4392,0.5122,0.4774,0.5122,0.8948,0.9022,0.875,0.8373,0.8773,0.8373,0.25,0.25,0.25,0.25
48,0.4783,0.4758,0.434,0.5062,0.4736,0.5062,0.8957,0.8804,0.8929,0.8467,0.8789,0.8467,0.25,0.25,0.25,0.25
49,0.4726,0.4694,0.4331,0.5072,0.4706,0.5072,0.8991,0.8967,0.9107,0.8382,0.8862,0.8382,0.25,0.25,0.25,0.25
50,0.4709,0.4652,0.4301,0.5021,0.4671,0.5021,0.8997,0.9076,0.9107,0.8392,0.8893,0.8392,0.25,0.25,0.25,0.25
51,0.4679,0.4659,0.4227,0.499,0.4639,0.499,0.9025,0.9022,0.9107,0.8477,0.8908,0.8477,0.25,0.25,0.25,0.25
52,0.4636,0.4582,0.4235,0.4954,0.4602,0.4954,0.9037,0.913,0.9107,0.8486,0.894,0.8486,0.25,0.25,0.25,0.25
53,0.4568,0.4532,0.4173,0.4953,0.4557,0.4953,0.9082,0.9022,0.9107,0.8505,0.8929,0.8505,0.25,0.25,0.25,0.25
54,0.453,0.4502,0.4107,0.4914,0.4513,0.4914,0.9105,0.8913,0.9107,0.842,0.8886,0.842,0.25,0.25,0.25,0.25
55,0.4508,0.4469,0.4097,0.4881,0.4489,0.4881,0.9091,0.9022,0.9107,0.8467,0.8922,0.8467,0.25,0.25,0.25,0.25
56,0.4479,0.4412,0.4057,0.485,0.4449,0.485,0.9082,0.9076,0.8929,0.8534,0.8905,0.8534,0.25,0.25,0.25,0.25
57,0.4454,0.4421,0.3976,0.4792,0.4411,0.4792,0.914,0.913,0.9286,0.8496,0.9013,0.8496,0.25,0.25,0.25,0.25
58,0.4446,0.4404,0.3894,0.4756,0.4375,0.4756,0.9117,0.913,0.8929,0.8543,0.893,0.8543,0.25,0.25,0.25,0.25
59,0.4404,0.4366,0.3866,0.4722,0.4339,0.4722,0.9148,0.9239,0.8929,0.8543,0.8965,0.8543,0.25,0.25,0.25,0.25
60,0.4368,0.4328,0.3828,0.4693,0.4304,0.4693,0.9171,0.9239,0.9286,0.8515,0.9053,0.8515,0.25,0.25,0.25,0.25
61,0.4314,0.4299,0.384,0.4701,0.4288,0.4701,0.918,0.9239,0.9107,0.8553,0.902,0.8553,0.25,0.25,0.25,0.25
62,0.4294,0.4248,0.3813,0.4667,0.4256,0.4667,0.9191,0.9185,0.9107,0.8515,0.8999,0.8515,0.25,0.25,0.25,0.25
63,0.4225,0.4189,0.3751,0.4651,0.4204,0.4651,0.9257,0.913,0.9107,0.8524,0.9005,0.8524,0.25,0.25,0.25,0.25
64,0.42,0.4141,0.3775,0.4634,0.4188,0.4634,0.9211,0.913,0.9286,0.8524,0.9038,0.8524,0.25,0.25,0.25,0.25
65,0.4167,0.4084,0.3669,0.4577,0.4124,0.4577,0.9242,0.9348,0.9286,0.8553,0.9107,0.8553,0.25,0.25,0.25,0.25
66,0.4155,0.4114,0.362,0.4555,0.4111,0.4555,0.9225,0.9076,0.9286,0.8562,0.9037,0.8562,0.25,0.25,0.25,0.25
67,0.4141,0.4057,0.358,0.4505,0.4071,0.4505,0.9242,0.9239,0.9286,0.8562,0.9082,0.8562,0.25,0.25,0.25,0.25
68,0.4093,0.4014,0.3526,0.4494,0.4032,0.4494,0.9242,0.9348,0.9286,0.8496,0.9093,0.8496,0.25,0.25,0.25,0.25
69,0.405,0.3993,0.3414,0.4482,0.3985,0.4482,0.926,0.9293,0.9464,0.8496,0.9128,0.8496,0.25,0.25,0.25,0.25
70,0.4002,0.3936,0.3437,0.446,0.3959,0.446,0.9305,0.9185,0.9286,0.8515,0.9073,0.8515,0.25,0.25,0.25,0.25
71,0.3981,0.3886,0.3398,0.4434,0.3925,0.4434,0.9282,0.9293,0.9286,0.8562,0.9106,0.8562,0.25,0.25,0.25,0.25
