epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
38,0.4942,0.5206,0.4918,0.5219,0.5071,0.5219,0.8957,0.8804,0.8929,0.8392,0.877,0.8392,0.226,0.2761,0.2214,0.2765
39,0.4911,0.5171,0.487,0.5174,0.5032,0.5174,0.8971,0.8913,0.875,0.8401,0.8759,0.8401,0.2255,0.2769,0.2203,0.2772
40,0.4883,0.5132,0.4779,0.5148,0.4985,0.5148,0.8974,0.8859,0.8929,0.8496,0.8814,0.8496,0.2249,0.2774,0.2199,0.2778
41,0.4848,0.5067,0.4801,0.5126,0.496,0.5126,0.8997,0.8913,0.8929,0.842,0.8815,0.842,0.2251,0.2787,0.2166,0.2795
42,0.4756,0.497,0.4821,0.5167,0.4929,0.5167,0.9085,0.8967,0.8929,0.8373,0.8838,0.8373,0.2248,0.2796,0.2143,0.2813
43,0.4695,0.4923,0.4835,0.5152,0.4901,0.5152,0.9099,0.8804,0.8929,0.8401,0.8808,0.8401,0.2243,0.28,0.2127,0.283
44,0.4674,0.4872,0.4752,0.5117,0.4854,0.5117,0.9128,0.8967,0.8929,0.8363,0.8847,0.8363,0.2236,0.2798,0.212,0.2846
45,0.4652,0.4866,0.4664,0.5054,0.4809,0.5054,0.9137,0.9022,0.8929,0.8448,0.8884,0.8448,0.2236,0.281,0.2087,0.2867
46,0.4607,0.4805,0.4649,0.5044,0.4776,0.5044,0.9177,0.9022,0.875,0.8439,0.8847,0.8439,0.2233,0.2816,0.2065,0.2886
47,0.455,0.4762,0.4607,0.5042,0.474,0.5042,0.9222,0.8967,0.875,0.8439,0.8845,0.8439,0.2232,0.2828,0.2029,0.2912
48,0.4497,0.473,0.4634,0.504,0.4725,0.504,0.9211,0.9076,0.8929,0.8401,0.8904,0.8401,0.222,0.2826,0.203,0.2925
49,0.4484,0.4693,0.4546,0.4969,0.4673,0.4969,0.9194,0.9022,0.8929,0.8373,0.8879,0.8373,0.2212,0.2827,0.2018,0.2942
50,0.4477,0.4673,0.4502,0.4908,0.464,0.4908,0.9217,0.9076,0.8929,0.8477,0.8925,0.8477,0.2205,0.2827,0.2012,0.2956
51,0.4481,0.468,0.4492,0.4853,0.4627,0.4853,0.9191,0.9239,0.8929,0.8496,0.8964,0.8496,0.2201,0.2828,0.2001,0.297
52,0.447,0.4693,0.4355,0.4783,0.4575,0.4783,0.9194,0.913,0.875,0.8609,0.8921,0.8609,0.2196,0.2833,0.199,0.2981
53,0.4451,0.4669,0.4329,0.4731,0.4545,0.4731,0.9174,0.9022,0.8929,0.8553,0.8919,0.8553,0.2191,0.2836,0.1982,0.299
54,0.4427,0.4639,0.4224,0.4681,0.4493,0.4681,0.9174,0.9022,0.875,0.8619,0.8891,0.8619,0.219,0.2848,0.1959,0.3003
55,0.4365,0.4614,0.426,0.4696,0.4484,0.4696,0.9234,0.9076,0.8929,0.8581,0.8955,0.8581,0.219,0.2859,0.193,0.3021
56,0.4307,0.4513,0.425,0.4694,0.4441,0.4694,0.9234,0.9293,0.9107,0.8534,0.9042,0.8534,0.2189,0.287,0.19,0.3041
57,0.4263,0.4393,0.4224,0.4694,0.4393,0.4694,0.9274,0.9348,0.8929,0.8515,0.9016,0.8515,0.2182,0.2865,0.1897,0.3055
58,0.4244,0.4435,0.4149,0.4629,0.4364,0.4629,0.9271,0.9185,0.8929,0.8562,0.8987,0.8562,0.2177,0.2868,0.1885,0.307
59,0.4223,0.4448,0.4066,0.4574,0.4328,0.4574,0.9271,0.9185,0.8929,0.8581,0.8991,0.8581,0.2175,0.2876,0.1861,0.3088
60,0.4192,0.4358,0.407,0.4569,0.4297,0.4569,0.9277,0.9185,0.8929,0.8515,0.8976,0.8515,0.217,0.2877,0.185,0.3103
61,0.417,0.4373,0.4069,0.4533,0.4286,0.4533,0.9271,0.9293,0.9107,0.8515,0.9047,0.8515,0.2168,0.2883,0.1829,0.3121
62,0.4139,0.4323,0.3961,0.4504,0.4232,0.4504,0.9277,0.9239,0.8929,0.8496,0.8985,0.8496,0.2166,0.2889,0.1805,0.314
63,0.4103,0.427,0.4029,0.4442,0.4211,0.4442,0.932,0.9185,0.8929,0.8628,0.9015,0.8628,0.2164,0.2895,0.1785,0.3156
64,0.4079,0.4235,0.3902,0.4438,0.4163,0.4438,0.932,0.9402,0.8929,0.8571,0.9055,0.8571,0.2158,0.2898,0.1779,0.3166
65,0.406,0.4209,0.3932,0.4399,0.415,0.4399,0.9317,0.9293,0.8929,0.8534,0.9018,0.8534,0.2155,0.2905,0.1758,0.3182
66,0.4018,0.4142,0.3864,0.4379,0.4101,0.4379,0.9331,0.9293,0.8929,0.8628,0.9045,0.8628,0.2153,0.2909,0.1738,0.32
67,0.3976,0.4127,0.391,0.4357,0.4092,0.4357,0.9351,0.9293,0.8929,0.859,0.9041,0.859,0.2147,0.2907,0.1732,0.3214
68,0.3941,0.4116,0.3778,0.4308,0.4036,0.4308,0.9362,0.9293,0.8929,0.8685,0.9067,0.8685,0.2144,0.2916,0.171,0.323
69,0.3923,0.4053,0.3746,0.4287,0.4002,0.4287,0.9345,0.9293,0.8929,0.859,0.9039,0.859,0.2139,0.2917,0.1699,0.3245
70,0.3906,0.4056,0.371,0.4253,0.3981,0.4253,0.9331,0.9402,0.9107,0.86,0.911,0.86,0.2135,0.2919,0.1687,0.3259
71,0.3895,0.4022,0.3681,0.4198,0.3949,0.4198,0.9345,0.9348,0.8929,0.8609,0.9058,0.8609,0.2132,0.292,0.1675,0.3273
72,0.3871,0.4028,0.3619,0.4162,0.392,0.4162,0.9368,0.9293,0.8929,0.8647,0.9059,0.8647,0.2128,0.2923,0.1665,0.3284
