epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.666,0.7269,0.7051,0.6929,0.6977,0.7269,0.6178,0.4239,0.4464,0.5412,0.5073,0.4239,0.243,0.2584,0.2506,0.2481
1,0.6316,0.6893,0.7257,0.7066,0.6883,0.7257,0.727,0.5815,0.4286,0.4901,0.5568,0.4286,0.2321,0.2617,0.26,0.2463
2,0.6242,0.6824,0.706,0.6949,0.6769,0.706,0.7499,0.5815,0.4464,0.5317,0.5774,0.4464,0.2218,0.2669,0.267,0.2443
3,0.6148,0.6743,0.6915,0.6865,0.6668,0.6915,0.7742,0.625,0.5357,0.5582,0.6233,0.5357,0.2131,0.273,0.27,0.2439
4,0.5999,0.6556,0.6891,0.6839,0.6571,0.6891,0.8119,0.6739,0.5,0.5648,0.6377,0.5,0.2037,0.277,0.2761,0.2432
5,0.6009,0.6552,0.6595,0.6659,0.6453,0.6659,0.8065,0.7065,0.6429,0.6263,0.6955,0.6263,0.1947,0.2822,0.2823,0.2408
6,0.5991,0.6509,0.6428,0.652,0.6362,0.652,0.8062,0.6957,0.6964,0.6764,0.7187,0.6764,0.1878,0.2884,0.2844,0.2395
7,0.5963,0.6397,0.6302,0.6413,0.6269,0.6413,0.8125,0.7174,0.7321,0.7001,0.7405,0.7001,0.1802,0.2915,0.2921,0.2362
8,0.5986,0.638,0.6084,0.6268,0.6179,0.638,0.8056,0.7065,0.75,0.7483,0.7526,0.7065,0.1733,0.2979,0.2967,0.2321
9,0.6036,0.6402,0.5846,0.6105,0.6097,0.6402,0.7876,0.7011,0.7857,0.7786,0.7633,0.7011,0.1672,0.3039,0.302,0.2269
10,0.5855,0.6126,0.5802,0.6204,0.5997,0.6204,0.8248,0.788,0.8214,0.7578,0.798,0.7578,0.1628,0.3122,0.2989,0.2261
11,0.5615,0.5782,0.5876,0.6394,0.5917,0.6394,0.8685,0.8641,0.8036,0.7048,0.8103,0.7048,0.1574,0.3147,0.3005,0.2274
12,0.5676,0.5806,0.5712,0.6206,0.585,0.6206,0.8556,0.8424,0.8036,0.736,0.8094,0.736,0.1524,0.3176,0.3029,0.2271
13,0.5662,0.5746,0.5534,0.6124,0.5766,0.6124,0.8505,0.8696,0.8214,0.7606,0.8255,0.7606,0.148,0.3226,0.3027,0.2267
14,0.5524,0.5522,0.5506,0.6218,0.5692,0.6218,0.8716,0.8913,0.8214,0.7256,0.8275,0.7256,0.1441,0.3255,0.3014,0.229
15,0.5506,0.543,0.5372,0.6141,0.5612,0.6141,0.8685,0.9076,0.8393,0.7493,0.8412,0.7493,0.1399,0.326,0.3038,0.2303
16,0.5557,0.5474,0.5237,0.599,0.5564,0.599,0.8565,0.8913,0.8571,0.7739,0.8447,0.7739,0.1368,0.3296,0.3024,0.2312
17,0.5507,0.5337,0.5065,0.5946,0.5464,0.5946,0.8605,0.8967,0.875,0.7729,0.8513,0.7729,0.1333,0.3337,0.3015,0.2314
18,0.5445,0.5199,0.5035,0.5941,0.5405,0.5941,0.8639,0.9022,0.8929,0.7729,0.858,0.7729,0.13,0.337,0.3006,0.2324
19,0.5428,0.513,0.4879,0.5861,0.5324,0.5861,0.8625,0.9185,0.8929,0.7852,0.8648,0.7852,0.1262,0.3378,0.3045,0.2315
20,0.5512,0.5179,0.4654,0.5681,0.5256,0.5681,0.8456,0.913,0.9107,0.8032,0.8682,0.8032,0.1236,0.3406,0.3053,0.2306
21,0.5455,0.5059,0.4552,0.5691,0.5189,0.5691,0.8445,0.913,0.9107,0.7947,0.8657,0.7947,0.1212,0.3443,0.3038,0.2306
22,0.544,0.499,0.4436,0.5631,0.5124,0.5631,0.8431,0.9293,0.9107,0.807,0.8725,0.807,0.1194,0.3458,0.3036,0.2311
