epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.5543,0.5484,0.8658,0.8994,0.717,0.8994,0.9111,0.913,0.1071,0.0842,0.5039,0.0842,0.2303,0.2403,0.2644,0.265
1,0.6191,0.6253,0.7507,0.7717,0.6917,0.7717,0.7739,0.75,0.3571,0.2923,0.5433,0.2923,0.2202,0.2408,0.2677,0.2713
2,0.6607,0.679,0.6873,0.6926,0.6799,0.6926,0.6398,0.5598,0.5357,0.5251,0.5651,0.5251,0.2119,0.2444,0.2765,0.2671
3,0.6867,0.7101,0.6343,0.6423,0.6683,0.7101,0.558,0.4783,0.7321,0.7029,0.6178,0.4783,0.2086,0.2534,0.2768,0.2612
4,0.6732,0.6964,0.6301,0.6363,0.659,0.6964,0.6006,0.5217,0.7143,0.7237,0.6401,0.5217,0.2053,0.2603,0.2784,0.256
5,0.6648,0.6892,0.6162,0.627,0.6493,0.6892,0.6301,0.5489,0.7321,0.7559,0.6668,0.5489,0.2024,0.2694,0.2768,0.2514
6,0.6394,0.6633,0.6216,0.6374,0.6404,0.6633,0.711,0.6141,0.6964,0.7209,0.6856,0.6141,0.1973,0.2762,0.2791,0.2474
7,0.6288,0.6495,0.6202,0.6321,0.6326,0.6495,0.7379,0.6793,0.7143,0.7446,0.719,0.6793,0.1923,0.282,0.2817,0.244
8,0.6141,0.6338,0.6134,0.637,0.6246,0.637,0.7827,0.712,0.7857,0.7237,0.751,0.712,0.1866,0.2875,0.2848,0.2411
9,0.6081,0.6252,0.6014,0.6306,0.6163,0.6306,0.7967,0.7283,0.8214,0.736,0.7706,0.7283,0.182,0.294,0.2842,0.2397
10,0.5883,0.5981,0.6103,0.6397,0.6091,0.6397,0.837,0.8152,0.7857,0.7067,0.7862,0.7067,0.1759,0.2956,0.2898,0.2387
11,0.5884,0.5966,0.5924,0.6299,0.6018,0.6299,0.8339,0.8043,0.8393,0.7351,0.8032,0.7351,0.1715,0.3006,0.2891,0.2388
12,0.5882,0.5947,0.5737,0.6167,0.5933,0.6167,0.8325,0.8207,0.875,0.7673,0.8238,0.7673,0.1659,0.3046,0.2936,0.2359
13,0.5874,0.5892,0.5633,0.6104,0.5876,0.6104,0.825,0.8478,0.8929,0.7805,0.8366,0.7805,0.161,0.3086,0.2972,0.2332
14,0.5864,0.5831,0.5538,0.6027,0.5815,0.6027,0.8259,0.8315,0.9107,0.7881,0.8391,0.7881,0.1572,0.3143,0.2969,0.2315
15,0.566,0.5592,0.5583,0.6152,0.5747,0.6152,0.8596,0.8696,0.9107,0.7635,0.8508,0.7635,0.1529,0.3177,0.2976,0.2317
16,0.5705,0.5617,0.5384,0.6025,0.5683,0.6025,0.8493,0.8587,0.9107,0.7881,0.8517,0.7881,0.1491,0.3198,0.3003,0.2308
17,0.5736,0.5603,0.5246,0.5916,0.5625,0.5916,0.8391,0.8696,0.9286,0.7985,0.8589,0.7985,0.1459,0.3228,0.3014,0.2298
18,0.5694,0.5486,0.5141,0.5889,0.5553,0.5889,0.8431,0.8696,0.9464,0.8004,0.8649,0.8004,0.1424,0.3272,0.3021,0.2283
19,0.5555,0.5295,0.5174,0.5966,0.5497,0.5966,0.8591,0.9022,0.9107,0.7824,0.8636,0.7824,0.1382,0.3284,0.306,0.2274
20,0.5636,0.5328,0.4976,0.5834,0.5444,0.5834,0.8476,0.8913,0.9286,0.8004,0.867,0.8004,0.1355,0.3315,0.3061,0.2268
21,0.5568,0.5238,0.4876,0.5827,0.5377,0.5827,0.8496,0.913,0.9464,0.7975,0.8767,0.7975,0.1326,0.3343,0.3068,0.2263
22,0.5581,0.5191,0.4795,0.5754,0.533,0.5754,0.8448,0.8967,0.9464,0.8023,0.8726,0.8023,0.1303,0.3374,0.3064,0.226
