epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.7955,0.761,0.5856,0.6416,0.6959,0.7955,0.253,0.3424,0.8571,0.6897,0.5356,0.253,0.2492,0.2621,0.2495,0.2391
1,0.6958,0.6646,0.6657,0.72,0.6865,0.72,0.518,0.6413,0.5893,0.438,0.5467,0.438,0.2394,0.2658,0.2591,0.2356
2,0.6631,0.6327,0.6575,0.7303,0.6709,0.7303,0.6189,0.7065,0.6429,0.4125,0.5952,0.4125,0.2293,0.2667,0.2686,0.2353
3,0.6422,0.6132,0.6571,0.7331,0.6614,0.7331,0.6812,0.7554,0.5893,0.4059,0.608,0.4059,0.219,0.2688,0.2758,0.2363
4,0.6288,0.6042,0.6503,0.724,0.6518,0.724,0.7147,0.788,0.6071,0.4428,0.6382,0.4428,0.2091,0.271,0.2822,0.2377
5,0.6225,0.6006,0.633,0.7061,0.6405,0.7061,0.7353,0.7935,0.7321,0.4976,0.6896,0.4976,0.1996,0.2731,0.2893,0.2379
6,0.6203,0.6015,0.6118,0.6898,0.6308,0.6898,0.7381,0.8098,0.8036,0.544,0.7239,0.544,0.1902,0.2763,0.2971,0.2364
7,0.6231,0.6063,0.5946,0.6665,0.6226,0.6665,0.7276,0.7717,0.8214,0.6216,0.7356,0.6216,0.1818,0.2799,0.305,0.2334
8,0.6289,0.6096,0.5647,0.6419,0.6113,0.6419,0.7067,0.7717,0.8393,0.6793,0.7492,0.6793,0.175,0.285,0.3106,0.2294
9,0.6265,0.6063,0.5542,0.6301,0.6043,0.6301,0.7181,0.7772,0.8929,0.7114,0.7749,0.7114,0.1683,0.2908,0.3164,0.2245
10,0.6249,0.6042,0.5363,0.6186,0.596,0.6249,0.7147,0.7609,0.9107,0.7275,0.7785,0.7147,0.1625,0.2948,0.323,0.2197
11,0.62,0.5946,0.5221,0.6105,0.5868,0.62,0.7276,0.8098,0.9107,0.7455,0.7984,0.7276,0.1571,0.2988,0.3293,0.2149
12,0.6234,0.5943,0.5062,0.5961,0.58,0.6234,0.7167,0.7826,0.9286,0.7824,0.8026,0.7167,0.1517,0.3037,0.3362,0.2085
13,0.6152,0.5834,0.4947,0.5972,0.5726,0.6152,0.7338,0.8315,0.9464,0.7692,0.8202,0.7338,0.1466,0.3083,0.3416,0.2034
14,0.6103,0.5702,0.4842,0.5959,0.5651,0.6103,0.7421,0.8424,0.9286,0.7692,0.8206,0.7421,0.1423,0.3137,0.3445,0.1994
15,0.5904,0.5443,0.4867,0.6089,0.5576,0.6089,0.7819,0.8641,0.9286,0.7351,0.8274,0.7351,0.1378,0.3187,0.3459,0.1975
16,0.5736,0.5246,0.4916,0.6208,0.5527,0.6208,0.8136,0.8913,0.9107,0.6906,0.8266,0.6906,0.1325,0.3207,0.3505,0.1963
17,0.5823,0.5264,0.4736,0.6014,0.5459,0.6014,0.7899,0.9185,0.9286,0.736,0.8432,0.736,0.1277,0.3224,0.3562,0.1937
18,0.5814,0.5217,0.4571,0.5957,0.539,0.5957,0.787,0.9076,0.9464,0.7493,0.8476,0.7493,0.1239,0.3268,0.3574,0.192
19,0.57,0.5019,0.4608,0.6007,0.5333,0.6007,0.809,0.9239,0.9107,0.7323,0.844,0.7323,0.1201,0.3292,0.3595,0.1912
20,0.5683,0.4981,0.4445,0.5952,0.5265,0.5952,0.8119,0.9293,0.9286,0.7266,0.8491,0.7266,0.116,0.3282,0.3661,0.1897
21,0.5819,0.5066,0.4178,0.5748,0.5203,0.5819,0.7833,0.9076,0.9286,0.7597,0.8448,0.7597,0.1133,0.3317,0.3674,0.1876
22,0.5734,0.4903,0.4267,0.5792,0.5174,0.5792,0.795,0.9457,0.9286,0.7512,0.8551,0.7512,0.1108,0.3338,0.3688,0.1867
23,0.5703,0.4837,0.4108,0.576,0.5102,0.576,0.8019,0.9348,0.9286,0.7588,0.856,0.7588,0.1078,0.3332,0.3739,0.185
24,0.5822,0.4851,0.3846,0.557,0.5022,0.5822,0.7744,0.9076,0.9464,0.7833,0.853,0.7744,0.1052,0.3326,0.3806,0.1816
25,0.5922,0.4928,0.3697,0.5416,0.4991,0.5922,0.7519,0.9185,0.9464,0.7947,0.8529,0.7519,0.1035,0.3369,0.3815,0.1781
26,0.5837,0.48,0.3619,0.5479,0.4934,0.5837,0.7607,0.9239,0.9464,0.7786,0.8524,0.7607,0.1022,0.3402,0.3816,0.1761
27,0.5701,0.4599,0.3651,0.5565,0.4879,0.5701,0.7913,0.9402,0.9286,0.7758,0.859,0.7758,0.1003,0.339,0.3859,0.1748
