epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
40,0.4093,0.4411,0.4523,0.4815,0.4461,0.4815,0.9494,0.9293,0.8929,0.8694,0.9103,0.8694,0.25,0.25,0.25,0.25
41,0.4,0.431,0.4594,0.487,0.4443,0.487,0.9551,0.962,0.8929,0.8581,0.917,0.8581,0.25,0.25,0.25,0.25
42,0.3946,0.4217,0.4482,0.4798,0.4361,0.4798,0.9557,0.9457,0.8929,0.8581,0.9131,0.8581,0.25,0.25,0.25,0.25
43,0.3938,0.4249,0.4406,0.4756,0.4337,0.4756,0.954,0.9457,0.8929,0.8638,0.9141,0.8638,0.25,0.25,0.25,0.25
44,0.3921,0.4198,0.426,0.4709,0.4272,0.4709,0.9514,0.962,0.8929,0.8647,0.9177,0.8647,0.25,0.25,0.25,0.25
45,0.3854,0.4196,0.4298,0.4692,0.426,0.4692,0.9531,0.9293,0.8929,0.8675,0.9107,0.8675,0.25,0.25,0.25,0.25
46,0.3791,0.4103,0.4265,0.4669,0.4207,0.4669,0.9551,0.9457,0.8929,0.8609,0.9136,0.8609,0.25,0.25,0.25,0.25
47,0.3811,0.4068,0.4191,0.4556,0.4157,0.4556,0.9551,0.9674,0.8929,0.8666,0.9205,0.8666,0.25,0.25,0.25,0.25
48,0.3837,0.4112,0.4106,0.4442,0.4124,0.4442,0.9477,0.9457,0.8929,0.8742,0.9151,0.8742,0.25,0.25,0.25,0.25
49,0.3754,0.3985,0.4104,0.4485,0.4082,0.4485,0.9537,0.9674,0.8929,0.8704,0.9211,0.8704,0.25,0.25,0.25,0.25
50,0.3729,0.3953,0.4061,0.4478,0.4055,0.4478,0.9548,0.9457,0.8929,0.8789,0.9181,0.8789,0.25,0.25,0.25,0.25
51,0.3663,0.3819,0.4065,0.4475,0.4005,0.4475,0.96,0.9565,0.8929,0.8609,0.9176,0.8609,0.25,0.25,0.25,0.25
52,0.3623,0.3837,0.3907,0.4417,0.3946,0.4417,0.9571,0.9511,0.8929,0.8713,0.9181,0.8713,0.25,0.25,0.25,0.25
53,0.3568,0.3754,0.3908,0.4408,0.3909,0.4408,0.9583,0.962,0.8929,0.8723,0.9213,0.8723,0.25,0.25,0.25,0.25
54,0.3584,0.3752,0.3841,0.4345,0.3881,0.4345,0.9577,0.9674,0.9107,0.8704,0.9265,0.8704,0.25,0.25,0.25,0.25
55,0.3557,0.3779,0.3739,0.4267,0.3835,0.4267,0.9571,0.9674,0.8929,0.8742,0.9229,0.8742,0.25,0.25,0.25,0.25
56,0.3548,0.3755,0.3714,0.4211,0.3807,0.4211,0.9557,0.962,0.8929,0.8761,0.9216,0.8761,0.25,0.25,0.25,0.25
57,0.3505,0.3698,0.3628,0.4183,0.3753,0.4183,0.9583,0.9674,0.8929,0.8751,0.9234,0.8751,0.25,0.25,0.25,0.25
58,0.348,0.3629,0.358,0.4189,0.372,0.4189,0.9591,0.962,0.8929,0.8723,0.9216,0.8723,0.25,0.25,0.25,0.25
59,0.3453,0.3598,0.352,0.4142,0.3678,0.4142,0.958,0.962,0.8929,0.8761,0.9222,0.8761,0.25,0.25,0.25,0.25
60,0.3425,0.3532,0.3488,0.411,0.3639,0.411,0.9585,0.962,0.8929,0.8817,0.9238,0.8817,0.25,0.25,0.25,0.25
61,0.3379,0.3483,0.342,0.411,0.3598,0.411,0.9594,0.9674,0.9107,0.878,0.9289,0.878,0.25,0.25,0.25,0.25
62,0.336,0.3473,0.3401,0.4093,0.3582,0.4093,0.9591,0.9674,0.9107,0.8694,0.9267,0.8694,0.25,0.25,0.25,0.25
63,0.3323,0.3421,0.3375,0.4047,0.3541,0.4047,0.9611,0.962,0.9107,0.8827,0.9291,0.8827,0.25,0.25,0.25,0.25
64,0.3288,0.3353,0.3324,0.4038,0.3501,0.4038,0.96,0.9728,0.9107,0.8723,0.9289,0.8723,0.25,0.25,0.25,0.25
65,0.3244,0.3308,0.3253,0.4028,0.3458,0.4028,0.9614,0.9674,0.9107,0.8798,0.9298,0.8798,0.25,0.25,0.25,0.25
66,0.3208,0.3298,0.3249,0.4015,0.3442,0.4015,0.9654,0.9674,0.9107,0.8808,0.9311,0.8808,0.25,0.25,0.25,0.25
67,0.3194,0.3286,0.3184,0.3959,0.3406,0.3959,0.9648,0.9728,0.9107,0.8751,0.9309,0.8751,0.25,0.25,0.25,0.25
68,0.3191,0.3239,0.3215,0.3923,0.3392,0.3923,0.9631,0.9674,0.9107,0.877,0.9296,0.877,0.25,0.25,0.25,0.25
69,0.3151,0.3179,0.3214,0.389,0.3358,0.389,0.9666,0.9783,0.8929,0.8893,0.9317,0.8893,0.25,0.25,0.25,0.25
70,0.3142,0.3166,0.3094,0.3891,0.3323,0.3891,0.9634,0.9891,0.9107,0.878,0.9353,0.878,0.25,0.25,0.25,0.25
71,0.3097,0.3128,0.3096,0.3836,0.3289,0.3836,0.9657,0.9728,0.8929,0.8817,0.9283,0.8817,0.25,0.25,0.25,0.25
72,0.3082,0.3042,0.3062,0.385,0.3259,0.385,0.9637,0.9837,0.9107,0.877,0.9338,0.877,0.25,0.25,0.25,0.25
73,0.3067,0.3034,0.2958,0.38,0.3215,0.38,0.9646,0.9728,0.9107,0.878,0.9315,0.878,0.25,0.25,0.25,0.25
74,0.3048,0.3012,0.2885,0.3772,0.3179,0.3772,0.9648,0.9837,0.9107,0.8817,0.9352,0.8817,0.25,0.25,0.25,0.25
75,0.3037,0.3,0.279,0.3719,0.3137,0.3719,0.9674,0.9783,0.9107,0.8827,0.9348,0.8827,0.25,0.25,0.25,0.25
76,0.3003,0.2927,0.2879,0.3699,0.3127,0.3699,0.9668,0.9728,0.9107,0.8846,0.9337,0.8846,0.25,0.25,0.25,0.25
77,0.2974,0.2891,0.2839,0.3695,0.31,0.3695,0.9671,0.9783,0.9107,0.8808,0.9342,0.8808,0.25,0.25,0.25,0.25
78,0.2948,0.2903,0.2734,0.3694,0.307,0.3694,0.9668,0.9674,0.9107,0.8808,0.9314,0.8808,0.25,0.25,0.25,0.25
79,0.2926,0.2837,0.2661,0.3633,0.3014,0.3633,0.9708,0.9783,0.9107,0.8798,0.9349,0.8798,0.25,0.25,0.25,0.25
80,0.2918,0.2844,0.2635,0.3626,0.3006,0.3626,0.9691,0.9783,0.9107,0.8912,0.9373,0.8912,0.25,0.25,0.25,0.25
81,0.2899,0.2839,0.2577,0.3625,0.2985,0.3625,0.97,0.9728,0.9107,0.8789,0.9331,0.8789,0.25,0.25,0.25,0.25
82,0.2874,0.2751,0.2637,0.3595,0.2964,0.3595,0.97,0.9674,0.9107,0.8846,0.9332,0.8846,0.25,0.25,0.25,0.25
83,0.2846,0.2734,0.2602,0.3557,0.2935,0.3557,0.9686,0.9891,0.9107,0.8874,0.939,0.8874,0.25,0.25,0.25,0.25
84,0.2848,0.2754,0.2571,0.3522,0.2924,0.3522,0.9697,0.9837,0.9107,0.8921,0.9391,0.8921,0.25,0.25,0.25,0.25
85,0.2836,0.271,0.2514,0.3498,0.289,0.3498,0.9708,0.9837,0.9286,0.8846,0.9419,0.8846,0.25,0.25,0.25,0.25
86,0.2837,0.2701,0.2538,0.3511,0.2897,0.3511,0.9663,0.9783,0.9107,0.8817,0.9342,0.8817,0.25,0.25,0.25,0.25
87,0.2781,0.2585,0.241,0.3456,0.2808,0.3456,0.97,0.9783,0.9107,0.8884,0.9368,0.8884,0.25,0.25,0.25,0.25
88,0.2784,0.2608,0.235,0.3412,0.2788,0.3412,0.9714,0.9783,0.9107,0.8884,0.9372,0.8884,0.25,0.25,0.25,0.25
89,0.2769,0.2624,0.2402,0.3397,0.2798,0.3397,0.9714,0.9837,0.9107,0.8846,0.9376,0.8846,0.25,0.25,0.25,0.25
90,0.2746,0.2592,0.2295,0.3441,0.2769,0.3441,0.9708,0.9783,0.9286,0.8808,0.9396,0.8808,0.25,0.25,0.25,0.25
91,0.2738,0.2566,0.2412,0.3439,0.2789,0.3439,0.9677,0.9837,0.9107,0.8808,0.9357,0.8808,0.25,0.25,0.25,0.25
92,0.272,0.2482,0.2333,0.3397,0.2733,0.3397,0.9697,0.9783,0.9286,0.8855,0.9405,0.8855,0.25,0.25,0.25,0.25
93,0.2704,0.2453,0.2211,0.3339,0.2677,0.3339,0.9731,0.9728,0.9107,0.8865,0.9358,0.8865,0.25,0.25,0.25,0.25
94,0.2686,0.2457,0.2194,0.3327,0.2666,0.3327,0.9714,0.9837,0.9286,0.8874,0.9428,0.8874,0.25,0.25,0.25,0.25
95,0.2672,0.2452,0.2162,0.3317,0.2651,0.3317,0.9708,0.9837,0.9107,0.8893,0.9386,0.8893,0.25,0.25,0.25,0.25
96,0.2652,0.24,0.2162,0.3333,0.2637,0.3333,0.9714,0.9891,0.9286,0.8817,0.9427,0.8817,0.25,0.25,0.25,0.25
97,0.2644,0.2408,0.2039,0.3301,0.2598,0.3301,0.972,0.9837,0.9464,0.8893,0.9479,0.8893,0.25,0.25,0.25,0.25
98,0.2621,0.2404,0.2136,0.333,0.2623,0.333,0.9751,0.9891,0.9464,0.8827,0.9483,0.8827,0.25,0.25,0.25,0.25
99,0.2597,0.2292,0.2036,0.328,0.2551,0.328,0.9728,0.9891,0.9464,0.8912,0.9499,0.8912,0.25,0.25,0.25,0.25
100,0.2591,0.2322,0.209,0.3256,0.2565,0.3256,0.9734,0.9783,0.9464,0.8817,0.945,0.8817,0.25,0.25,0.25,0.25
101,0.2588,0.2291,0.2009,0.3266,0.2538,0.3266,0.9748,0.9891,0.9107,0.8865,0.9403,0.8865,0.25,0.25,0.25,0.25
102,0.2569,0.2297,0.2006,0.3163,0.2509,0.3163,0.9748,0.9946,0.9464,0.8931,0.9522,0.8931,0.25,0.25,0.25,0.25
103,0.2567,0.2247,0.1942,0.3143,0.2475,0.3143,0.9734,0.9891,0.9286,0.894,0.9463,0.894,0.25,0.25,0.25,0.25
104,0.2533,0.2296,0.1944,0.3175,0.2487,0.3175,0.9763,0.9891,0.9286,0.8884,0.9456,0.8884,0.25,0.25,0.25,0.25
