epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.7413,0.7621,0.72,0.6907,0.7285,0.7621,0.3954,0.3424,0.4286,0.5364,0.4257,0.3424,0.2509,0.2596,0.2421,0.2474
1,0.6763,0.6942,0.7687,0.738,0.7193,0.7687,0.5609,0.5272,0.3036,0.4011,0.4482,0.3036,0.2466,0.2625,0.2406,0.2503
2,0.641,0.6588,0.7738,0.7499,0.7059,0.7738,0.6598,0.6087,0.2679,0.3661,0.4756,0.2679,0.2404,0.2616,0.2423,0.2557
3,0.6385,0.6616,0.744,0.7264,0.6926,0.744,0.6675,0.5978,0.3214,0.4437,0.5076,0.3214,0.2354,0.2639,0.2408,0.26
4,0.6191,0.6431,0.7485,0.7221,0.6832,0.7485,0.7201,0.6359,0.3393,0.4579,0.5383,0.3393,0.2305,0.2643,0.239,0.2662
5,0.6116,0.643,0.7248,0.7046,0.671,0.7248,0.7441,0.625,0.4107,0.509,0.5722,0.4107,0.2246,0.2658,0.2395,0.2701
6,0.6144,0.6482,0.6972,0.6777,0.6594,0.6972,0.7316,0.6304,0.5536,0.6017,0.6293,0.5536,0.2193,0.2682,0.241,0.2714
7,0.6101,0.645,0.6845,0.6603,0.65,0.6845,0.7393,0.625,0.6071,0.6537,0.6563,0.6071,0.2154,0.2712,0.2405,0.273
8,0.6058,0.6447,0.6644,0.6443,0.6398,0.6644,0.7459,0.6304,0.6429,0.6831,0.6756,0.6304,0.2123,0.2755,0.2377,0.2744
9,0.5966,0.6353,0.654,0.6348,0.6302,0.654,0.7727,0.6793,0.6607,0.6991,0.703,0.6607,0.2091,0.2812,0.2341,0.2756
10,0.5746,0.6103,0.6654,0.6453,0.6239,0.6654,0.8153,0.6957,0.6071,0.6689,0.6967,0.6071,0.2045,0.2857,0.2317,0.2782
