epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.5675,0.5719,0.6677,0.6483,0.6138,0.6677,0.6981,0.6848,0.5357,0.6225,0.6353,0.5357,0.25,0.25,0.25,0.25
1,0.3306,0.3609,0.3035,0.3457,0.3352,0.3609,0.8945,0.8696,0.8929,0.8657,0.8806,0.8657,0.25,0.25,0.25,0.25
2,0.1649,0.1369,0.1231,0.2947,0.1799,0.2947,0.9637,0.9837,0.9464,0.8798,0.9434,0.8798,0.25,0.25,0.25,0.25
3,0.1202,0.0797,0.0458,0.2146,0.1151,0.2146,0.9726,1.0,1.0,0.913,0.9714,0.913,0.25,0.25,0.25,0.25
4,0.0899,0.0615,0.0217,0.1489,0.0805,0.1489,0.9828,1.0,1.0,0.9404,0.9808,0.9404,0.25,0.25,0.25,0.25
5,0.0564,0.0382,0.015,0.1266,0.059,0.1266,0.992,1.0,1.0,0.947,0.9848,0.947,0.25,0.25,0.25,0.25
6,0.0507,0.0371,0.0097,0.0877,0.0463,0.0877,0.9923,1.0,1.0,0.9688,0.9903,0.9688,0.25,0.25,0.25,0.25
7,0.0402,0.0271,0.0078,0.0771,0.0381,0.0771,0.9943,1.0,1.0,0.9716,0.9915,0.9716,0.25,0.25,0.25,0.25
8,0.0353,0.0199,0.0042,0.0523,0.0279,0.0523,0.996,1.0,1.0,0.9811,0.9943,0.9811,0.25,0.25,0.25,0.25
9,0.0266,0.0141,0.004,0.0444,0.0223,0.0444,0.998,1.0,1.0,0.9858,0.996,0.9858,0.25,0.25,0.25,0.25
10,0.0237,0.0123,0.004,0.0316,0.0179,0.0316,0.9989,1.0,1.0,0.9924,0.9978,0.9924,0.25,0.25,0.25,0.25
11,0.0193,0.0094,0.0033,0.0267,0.0147,0.0267,0.9989,1.0,1.0,0.9953,0.9985,0.9953,0.25,0.25,0.25,0.25
12,0.0179,0.008,0.0035,0.0239,0.0134,0.0239,0.9991,1.0,1.0,0.9953,0.9986,0.9953,0.25,0.25,0.25,0.25
