epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.7603,0.7575,0.6867,0.6611,0.7164,0.7603,0.3062,0.3315,0.5179,0.6282,0.4459,0.3062,0.2411,0.2602,0.2616,0.2372
1,0.6927,0.6845,0.734,0.7094,0.7051,0.734,0.5252,0.538,0.4464,0.4787,0.4971,0.4464,0.2258,0.2642,0.2816,0.2283
2,0.676,0.6676,0.7192,0.7052,0.692,0.7192,0.5883,0.6033,0.4286,0.4768,0.5242,0.4286,0.2108,0.2672,0.3018,0.2201
3,0.6624,0.6544,0.7112,0.7007,0.6822,0.7112,0.6355,0.6576,0.4464,0.4891,0.5572,0.4464,0.196,0.2694,0.3226,0.212
4,0.667,0.6581,0.682,0.6788,0.6715,0.682,0.6224,0.6467,0.5893,0.5572,0.6039,0.5572,0.1843,0.2754,0.3356,0.2046
5,0.6622,0.6476,0.6657,0.6702,0.6614,0.6702,0.6381,0.6739,0.6786,0.5828,0.6433,0.5828,0.1716,0.2763,0.357,0.1951
6,0.693,0.6794,0.6128,0.6258,0.6527,0.693,0.5289,0.5761,0.7679,0.7294,0.6506,0.5289,0.1616,0.2812,0.3744,0.1828
7,0.6949,0.6733,0.5977,0.6173,0.6458,0.6949,0.5274,0.6304,0.8571,0.7625,0.6944,0.5274,0.1539,0.2877,0.3857,0.1727
8,0.6711,0.6385,0.6006,0.635,0.6363,0.6711,0.6172,0.6848,0.8393,0.6906,0.708,0.6172,0.1453,0.293,0.3976,0.1642
9,0.6758,0.6359,0.5837,0.6241,0.6299,0.6758,0.5921,0.6957,0.7857,0.7143,0.6969,0.5921,0.1363,0.2952,0.4143,0.1542
10,0.6789,0.6272,0.5674,0.6204,0.6235,0.6789,0.5803,0.712,0.875,0.7247,0.723,0.5803,0.1291,0.2993,0.4257,0.1459
11,0.6752,0.6135,0.5548,0.6223,0.6165,0.6752,0.5958,0.7554,0.875,0.7143,0.7351,0.5958,0.1223,0.302,0.4372,0.1385
12,0.6667,0.5957,0.5435,0.627,0.6082,0.6667,0.6186,0.7935,0.8929,0.7133,0.7546,0.6186,0.1166,0.3053,0.4452,0.1328
13,0.6652,0.5847,0.5351,0.6273,0.6031,0.6652,0.6261,0.8043,0.9107,0.7001,0.7603,0.6261,0.1111,0.3081,0.4534,0.1274
14,0.6676,0.5759,0.5172,0.6252,0.5965,0.6676,0.6129,0.788,0.9107,0.702,0.7534,0.6129,0.1046,0.3046,0.4703,0.1205
15,0.6975,0.5918,0.4778,0.5969,0.591,0.6975,0.5197,0.7772,0.9286,0.7739,0.7498,0.5197,0.1004,0.3061,0.4799,0.1136
16,0.7137,0.5916,0.4577,0.5848,0.587,0.7137,0.4711,0.7554,0.9643,0.789,0.745,0.4711,0.0977,0.3109,0.4838,0.1076
17,0.6866,0.5592,0.4702,0.6178,0.5835,0.6866,0.562,0.8207,0.9464,0.7067,0.759,0.562,0.0943,0.3118,0.4905,0.1033
18,0.6903,0.5514,0.4524,0.6118,0.5765,0.6903,0.5423,0.8424,0.9643,0.7228,0.7679,0.5423,0.0912,0.3126,0.497,0.0991
19,0.6967,0.5442,0.4338,0.6111,0.5715,0.6967,0.5246,0.8587,0.9643,0.7124,0.765,0.5246,0.0886,0.3122,0.5042,0.0951
20,0.6936,0.5267,0.4277,0.6172,0.5663,0.6936,0.5386,0.8587,0.9643,0.7029,0.7661,0.5386,0.0871,0.3126,0.5075,0.0928
21,0.6863,0.5093,0.4233,0.6281,0.5618,0.6863,0.5577,0.875,0.9643,0.6708,0.7669,0.5577,0.0845,0.3094,0.5161,0.09
22,0.7019,0.5123,0.4044,0.6144,0.5583,0.7019,0.5103,0.8533,0.9643,0.6973,0.7563,0.5103,0.0833,0.3085,0.5207,0.0875
23,0.7085,0.5078,0.3903,0.6117,0.5546,0.7085,0.4997,0.8641,0.9821,0.685,0.7577,0.4997,0.0825,0.3082,0.524,0.0854
24,0.7177,0.5013,0.3785,0.6078,0.5513,0.7177,0.4786,0.875,0.9821,0.702,0.7594,0.4786,0.0813,0.305,0.5314,0.0823
25,0.7176,0.4923,0.3722,0.612,0.5485,0.7176,0.4763,0.8641,0.9643,0.6963,0.7502,0.4763,0.0813,0.303,0.5349,0.0808
26,0.7167,0.4829,0.3571,0.6154,0.543,0.7167,0.4857,0.8967,0.9821,0.6859,0.7626,0.4857,0.081,0.299,0.5408,0.0792
27,0.7278,0.4841,0.3432,0.6082,0.5408,0.7278,0.464,0.8804,0.9821,0.6802,0.7517,0.464,0.081,0.2971,0.5446,0.0773
28,0.7368,0.4791,0.3286,0.6009,0.5363,0.7368,0.444,0.875,0.9821,0.6954,0.7491,0.444,0.0821,0.2967,0.5453,0.076
29,0.7387,0.4703,0.3231,0.6041,0.534,0.7387,0.4448,0.8641,0.9821,0.6859,0.7443,0.4448,0.0827,0.2924,0.5505,0.0743
30,0.7356,0.4624,0.3137,0.6101,0.5305,0.7356,0.4505,0.8859,0.9821,0.6679,0.7466,0.4505,0.0841,0.2902,0.5521,0.0736
31,0.7326,0.4518,0.309,0.6126,0.5265,0.7326,0.456,0.9022,0.9821,0.6708,0.7528,0.456,0.0857,0.2886,0.5526,0.0731
32,0.7253,0.4396,0.3075,0.6211,0.5234,0.7253,0.4786,0.8859,0.9821,0.6556,0.7506,0.4786,0.0867,0.2847,0.556,0.0726
33,0.7269,0.4383,0.2999,0.6213,0.5216,0.7269,0.4814,0.9348,0.9821,0.6528,0.7628,0.4814,0.0876,0.2813,0.559,0.0721
34,0.7302,0.4297,0.2871,0.6161,0.5158,0.7302,0.4737,0.913,0.9821,0.6566,0.7564,0.4737,0.0888,0.2782,0.5615,0.0715
35,0.7187,0.4183,0.2906,0.6267,0.5136,0.7187,0.4966,0.9348,0.9821,0.6462,0.7649,0.4966,0.0908,0.2755,0.5616,0.0721
36,0.7199,0.4135,0.281,0.6261,0.5101,0.7199,0.4931,0.9402,0.9821,0.6424,0.7645,0.4931,0.092,0.2704,0.5657,0.0719
37,0.7324,0.4188,0.2679,0.6151,0.5086,0.7324,0.4697,0.9293,0.9821,0.6641,0.7613,0.4697,0.0942,0.2668,0.567,0.072
38,0.7312,0.4081,0.2619,0.6163,0.5044,0.7312,0.4763,0.9348,0.9821,0.6547,0.762,0.4763,0.096,0.2614,0.5709,0.0717
