epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
38,0.0838,0.0214,0.0047,0.0596,0.0424,0.0838,0.9894,1.0,1.0,0.9839,0.9933,0.9839,0.0831,0.2044,0.5597,0.1529
39,0.0822,0.0176,0.0056,0.0542,0.0399,0.0822,0.9866,1.0,1.0,0.9905,0.9943,0.9866,0.08,0.2007,0.5721,0.1472
40,0.0836,0.0209,0.0044,0.058,0.0417,0.0836,0.986,1.0,1.0,0.9858,0.993,0.9858,0.0771,0.197,0.5842,0.1418
41,0.0798,0.0181,0.0047,0.0535,0.0391,0.0798,0.9871,1.0,1.0,0.9839,0.9928,0.9839,0.0741,0.1932,0.5965,0.1363
42,0.083,0.0176,0.004,0.0529,0.0394,0.083,0.9871,1.0,1.0,0.9896,0.9942,0.9871,0.0713,0.1893,0.6085,0.131
43,0.082,0.0158,0.0044,0.0508,0.0383,0.082,0.9846,1.0,1.0,0.9877,0.9931,0.9846,0.0685,0.1853,0.6205,0.1257
44,0.0814,0.0159,0.0037,0.0505,0.0379,0.0814,0.9868,1.0,1.0,0.9868,0.9934,0.9868,0.0658,0.1813,0.6324,0.1205
45,0.0837,0.0159,0.0037,0.0511,0.0386,0.0837,0.9863,1.0,1.0,0.9868,0.9933,0.9863,0.0632,0.1773,0.6441,0.1154
46,0.0801,0.0148,0.0038,0.0481,0.0367,0.0801,0.9877,1.0,1.0,0.9924,0.995,0.9877,0.0606,0.1732,0.6557,0.1105
47,0.0794,0.0147,0.0033,0.0482,0.0364,0.0794,0.986,1.0,1.0,0.9915,0.9944,0.986,0.0581,0.1692,0.6672,0.1056
48,0.0797,0.0136,0.0029,0.0473,0.0359,0.0797,0.9866,1.0,1.0,0.9877,0.9936,0.9866,0.0557,0.165,0.6784,0.1009
49,0.0813,0.0148,0.0027,0.046,0.0362,0.0813,0.9863,1.0,1.0,0.9924,0.9947,0.9863,0.0533,0.1609,0.6894,0.0963
50,0.08,0.0146,0.0027,0.0468,0.036,0.08,0.9857,1.0,1.0,0.9896,0.9938,0.9857,0.051,0.1569,0.7002,0.0919
51,0.0793,0.0141,0.0032,0.0532,0.0375,0.0793,0.9871,1.0,1.0,0.9868,0.9935,0.9868,0.0488,0.1528,0.7107,0.0878
52,0.0782,0.0137,0.0022,0.0455,0.0349,0.0782,0.9874,1.0,1.0,0.9896,0.9943,0.9874,0.0466,0.1487,0.721,0.0837
53,0.0791,0.0138,0.0028,0.0445,0.0351,0.0791,0.988,1.0,1.0,0.9886,0.9942,0.988,0.0445,0.1448,0.7311,0.0796
54,0.0765,0.013,0.0019,0.0427,0.0335,0.0765,0.9886,1.0,1.0,0.9934,0.9955,0.9886,0.0425,0.1408,0.741,0.0758
55,0.0754,0.0121,0.0019,0.0438,0.0333,0.0754,0.9886,1.0,1.0,0.9905,0.9948,0.9886,0.0405,0.1368,0.7506,0.0721
56,0.077,0.0117,0.0021,0.0437,0.0336,0.077,0.9868,1.0,1.0,0.9896,0.9941,0.9868,0.0386,0.1328,0.7601,0.0685
57,0.0788,0.0127,0.0019,0.0461,0.0349,0.0788,0.9871,1.0,1.0,0.9924,0.9949,0.9871,0.0368,0.1289,0.7691,0.0651
58,0.0771,0.0125,0.0019,0.0456,0.0343,0.0771,0.9871,1.0,1.0,0.9896,0.9942,0.9871,0.0351,0.1251,0.778,0.0619
59,0.0773,0.0135,0.0018,0.0411,0.0334,0.0773,0.9877,1.0,1.0,0.9924,0.995,0.9877,0.0334,0.1213,0.7866,0.0587
60,0.079,0.0136,0.0018,0.0422,0.0342,0.079,0.9877,1.0,1.0,0.9924,0.995,0.9877,0.0318,0.1177,0.7949,0.0557
61,0.0768,0.0127,0.0016,0.0417,0.0332,0.0768,0.9897,1.0,1.0,0.9915,0.9953,0.9897,0.0302,0.114,0.803,0.0528
62,0.079,0.0114,0.0019,0.0449,0.0343,0.079,0.9889,1.0,1.0,0.9896,0.9946,0.9889,0.0287,0.1105,0.8108,0.05
63,0.0809,0.0131,0.002,0.0468,0.0357,0.0809,0.9854,1.0,1.0,0.9886,0.9935,0.9854,0.0273,0.107,0.8182,0.0474
64,0.0807,0.0133,0.0016,0.0482,0.0359,0.0807,0.986,1.0,1.0,0.9896,0.9939,0.986,0.026,0.1035,0.8254,0.045
65,0.0802,0.012,0.0015,0.0437,0.0343,0.0802,0.9857,1.0,1.0,0.9915,0.9943,0.9857,0.0247,0.1001,0.8325,0.0427
66,0.082,0.0129,0.0017,0.0472,0.0359,0.082,0.9866,1.0,1.0,0.9905,0.9943,0.9866,0.0235,0.0969,0.8392,0.0404
67,0.0809,0.015,0.0013,0.0448,0.0355,0.0809,0.9883,1.0,1.0,0.9915,0.9949,0.9883,0.0223,0.0938,0.8456,0.0383
68,0.0818,0.0122,0.0017,0.0455,0.0353,0.0818,0.9874,1.0,1.0,0.9924,0.995,0.9874,0.0212,0.0906,0.8519,0.0362
69,0.0796,0.0119,0.0013,0.0456,0.0346,0.0796,0.9883,1.0,1.0,0.9905,0.9947,0.9883,0.0202,0.0876,0.858,0.0343
70,0.0797,0.0121,0.0013,0.0457,0.0347,0.0797,0.9886,1.0,1.0,0.9924,0.9952,0.9886,0.0191,0.0846,0.8638,0.0324
71,0.0824,0.0123,0.0016,0.0462,0.0356,0.0824,0.988,1.0,1.0,0.9924,0.9951,0.988,0.0182,0.0817,0.8695,0.0307
72,0.083,0.0124,0.0013,0.0465,0.0358,0.083,0.9868,1.0,1.0,0.9896,0.9941,0.9868,0.0173,0.0788,0.8748,0.029
73,0.0857,0.0111,0.0018,0.0477,0.0366,0.0857,0.9868,1.0,1.0,0.9915,0.9946,0.9868,0.0164,0.0761,0.88,0.0275
74,0.0869,0.0131,0.0014,0.0489,0.0376,0.0869,0.9857,1.0,1.0,0.9924,0.9945,0.9857,0.0156,0.0734,0.885,0.026
75,0.0877,0.0131,0.0011,0.0531,0.0388,0.0877,0.9868,1.0,1.0,0.9849,0.9929,0.9849,0.0148,0.0708,0.8898,0.0246
76,0.0902,0.0121,0.0011,0.0493,0.0382,0.0902,0.9837,1.0,1.0,0.9915,0.9938,0.9837,0.0141,0.0683,0.8943,0.0233
77,0.0943,0.0131,0.0012,0.0552,0.0409,0.0943,0.9828,1.0,1.0,0.9886,0.9929,0.9828,0.0134,0.0659,0.8987,0.022
78,0.0906,0.0131,0.0011,0.0515,0.0391,0.0906,0.9863,1.0,1.0,0.9915,0.9944,0.9863,0.0128,0.0635,0.9029,0.0209
79,0.0904,0.0131,0.0009,0.0522,0.0391,0.0904,0.9868,1.0,1.0,0.9905,0.9943,0.9868,0.0121,0.0612,0.9069,0.0197
80,0.0922,0.0132,0.0008,0.05,0.039,0.0922,0.9854,1.0,1.0,0.9886,0.9935,0.9854,0.0115,0.059,0.9108,0.0187
81,0.0951,0.0142,0.001,0.055,0.0413,0.0951,0.9837,1.0,1.0,0.9886,0.9931,0.9837,0.011,0.0569,0.9145,0.0177
82,0.0946,0.0151,0.0009,0.0567,0.0418,0.0946,0.9877,1.0,1.0,0.9868,0.9936,0.9868,0.0105,0.0549,0.918,0.0167
83,0.0946,0.0136,0.0011,0.056,0.0413,0.0946,0.9843,1.0,1.0,0.9886,0.9932,0.9843,0.0099,0.0529,0.9214,0.0158
84,0.0965,0.0138,0.0009,0.0564,0.0419,0.0965,0.984,1.0,1.0,0.9877,0.9929,0.984,0.0095,0.0509,0.9246,0.015
85,0.0963,0.0134,0.0009,0.0552,0.0415,0.0963,0.9851,1.0,1.0,0.9915,0.9942,0.9851,0.009,0.0491,0.9278,0.0142
86,0.0973,0.0139,0.0011,0.0552,0.0419,0.0973,0.9863,1.0,1.0,0.9896,0.994,0.9863,0.0086,0.0473,0.9308,0.0134
87,0.1004,0.0146,0.0009,0.0578,0.0434,0.1004,0.984,1.0,1.0,0.9877,0.9929,0.984,0.0082,0.0455,0.9336,0.0127
88,0.0992,0.014,0.0008,0.0568,0.0427,0.0992,0.9846,1.0,1.0,0.9896,0.9935,0.9846,0.0078,0.0438,0.9364,0.012
89,0.1037,0.0147,0.001,0.0595,0.0447,0.1037,0.9814,1.0,1.0,0.9858,0.9918,0.9814,0.0074,0.0422,0.939,0.0114
90,0.1063,0.0151,0.0011,0.0646,0.0468,0.1063,0.98,1.0,1.0,0.982,0.9905,0.98,0.0071,0.0407,0.9415,0.0108
91,0.1074,0.0161,0.0009,0.0633,0.0469,0.1074,0.982,1.0,1.0,0.9868,0.9922,0.982,0.0068,0.0391,0.9438,0.0102
92,0.1081,0.015,0.0009,0.0634,0.0468,0.1081,0.9826,1.0,1.0,0.9849,0.9919,0.9826,0.0065,0.0377,0.9461,0.0097
93,0.1106,0.0155,0.0008,0.0697,0.0492,0.1106,0.9783,1.0,1.0,0.983,0.9903,0.9783,0.0062,0.0363,0.9483,0.0092
94,0.1126,0.0164,0.0009,0.064,0.0485,0.1126,0.9788,1.0,1.0,0.9877,0.9916,0.9788,0.0059,0.035,0.9504,0.0087
95,0.1122,0.0162,0.0007,0.0671,0.0491,0.1122,0.9806,1.0,1.0,0.9849,0.9914,0.9806,0.0057,0.0337,0.9524,0.0083
96,0.1114,0.016,0.0007,0.0643,0.0481,0.1114,0.9811,1.0,1.0,0.9877,0.9922,0.9811,0.0054,0.0324,0.9543,0.0079
97,0.1138,0.0172,0.0007,0.0727,0.0511,0.1138,0.9803,1.0,1.0,0.9839,0.991,0.9803,0.0052,0.0312,0.9561,0.0075
98,0.1141,0.0167,0.0007,0.067,0.0496,0.1141,0.9803,1.0,1.0,0.9877,0.992,0.9803,0.0049,0.0301,0.9579,0.0071
99,0.117,0.0171,0.0007,0.0679,0.0507,0.117,0.9771,1.0,1.0,0.9868,0.991,0.9771,0.0047,0.029,0.9596,0.0067
100,0.1164,0.0169,0.0006,0.067,0.0502,0.1164,0.9817,1.0,1.0,0.9868,0.9921,0.9817,0.0045,0.0279,0.9612,0.0064
101,0.1213,0.0178,0.0008,0.0727,0.0531,0.1213,0.9771,1.0,1.0,0.983,0.99,0.9771,0.0044,0.0269,0.9627,0.0061
102,0.1231,0.0188,0.0008,0.0803,0.0558,0.1231,0.9791,1.0,1.0,0.9801,0.9898,0.9791,0.0042,0.0259,0.9642,0.0058
103,0.122,0.0174,0.0008,0.073,0.0533,0.122,0.9791,1.0,1.0,0.983,0.9905,0.9791,0.004,0.0249,0.9656,0.0055
104,0.1251,0.0193,0.0007,0.077,0.0555,0.1251,0.9774,1.0,1.0,0.982,0.9899,0.9774,0.0038,0.024,0.9669,0.0053
105,0.13,0.0212,0.0007,0.0815,0.0583,0.13,0.9751,1.0,1.0,0.983,0.9895,0.9751,0.0037,0.0231,0.9682,0.005
106,0.1286,0.0211,0.0006,0.0788,0.0573,0.1286,0.978,1.0,1.0,0.9858,0.9909,0.978,0.0036,0.0223,0.9694,0.0048
107,0.1309,0.0201,0.0009,0.0776,0.0574,0.1309,0.9751,1.0,1.0,0.9839,0.9898,0.9751,0.0034,0.0215,0.9706,0.0045
