epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.4164,0.5052,0.5482,0.5178,0.4969,0.5482,0.8671,0.788,0.6964,0.7379,0.7724,0.6964,0.2371,0.2543,0.2601,0.2485
1,0.1765,0.1688,0.1587,0.2667,0.1927,0.2667,0.9551,0.962,0.9464,0.8978,0.9403,0.8978,0.2289,0.2543,0.2662,0.2506
2,0.0996,0.0694,0.0426,0.1581,0.0924,0.1581,0.9757,0.9891,0.9821,0.947,0.9735,0.947,0.2212,0.2532,0.2753,0.2503
3,0.0594,0.034,0.0138,0.0966,0.051,0.0966,0.9877,1.0,1.0,0.964,0.9879,0.964,0.2137,0.2533,0.2854,0.2476
4,0.0456,0.0211,0.0066,0.0704,0.0359,0.0704,0.9923,1.0,1.0,0.9754,0.9919,0.9754,0.2065,0.2529,0.2969,0.2436
5,0.0337,0.0146,0.0058,0.0342,0.0221,0.0342,0.996,1.0,1.0,0.9924,0.9971,0.9924,0.1994,0.2532,0.3099,0.2375
6,0.0246,0.0085,0.0034,0.0221,0.0146,0.0246,0.998,1.0,1.0,0.9981,0.999,0.998,0.1922,0.2532,0.3236,0.231
7,0.0182,0.0052,0.0037,0.0204,0.0119,0.0204,0.998,1.0,1.0,0.9981,0.999,0.998,0.1847,0.2529,0.3379,0.2244
8,0.0176,0.0044,0.0025,0.013,0.0094,0.0176,0.9983,1.0,1.0,1.0,0.9996,0.9983,0.1774,0.2524,0.3527,0.2175
9,0.013,0.0031,0.0023,0.0113,0.0074,0.013,0.9989,1.0,1.0,1.0,0.9997,0.9989,0.1701,0.2517,0.3678,0.2105
10,0.0133,0.0032,0.0016,0.0109,0.0072,0.0133,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.1628,0.2506,0.3831,0.2034
11,0.0121,0.0026,0.0017,0.0097,0.0065,0.0121,0.9997,1.0,1.0,0.9991,0.9997,0.9991,0.1557,0.2494,0.3987,0.1963
12,0.0106,0.0022,0.0014,0.0076,0.0055,0.0106,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.1486,0.2478,0.4144,0.1892
13,0.0095,0.0019,0.0011,0.0074,0.005,0.0095,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.1417,0.2459,0.4303,0.182
14,0.0089,0.0019,0.001,0.0072,0.0048,0.0089,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.1349,0.2438,0.4463,0.175
15,0.0089,0.0016,0.0009,0.0069,0.0046,0.0089,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.1283,0.2414,0.4623,0.168
16,0.0072,0.0011,0.0007,0.0048,0.0034,0.0072,1.0,1.0,1.0,1.0,1.0,1.0,0.1218,0.2388,0.4785,0.161
17,0.0079,0.0013,0.0006,0.0056,0.0038,0.0079,1.0,1.0,1.0,1.0,1.0,1.0,0.1155,0.2359,0.4945,0.1542
18,0.0067,0.0011,0.0006,0.0046,0.0033,0.0067,1.0,1.0,1.0,1.0,1.0,1.0,0.1094,0.2327,0.5105,0.1474
19,0.0068,0.001,0.0006,0.0052,0.0034,0.0068,1.0,1.0,1.0,1.0,1.0,1.0,0.1034,0.2293,0.5265,0.1408
20,0.0069,0.0011,0.0005,0.0045,0.0032,0.0069,1.0,1.0,1.0,1.0,1.0,1.0,0.0977,0.2258,0.5422,0.1343
21,0.0068,0.0011,0.0005,0.005,0.0034,0.0068,1.0,1.0,1.0,1.0,1.0,1.0,0.0922,0.222,0.5578,0.128
22,0.0068,0.001,0.0006,0.0038,0.003,0.0068,1.0,1.0,1.0,1.0,1.0,1.0,0.0869,0.218,0.5733,0.1218
23,0.0069,0.0011,0.0004,0.0044,0.0032,0.0069,1.0,1.0,1.0,1.0,1.0,1.0,0.0819,0.2139,0.5885,0.1157
24,0.0069,0.0011,0.0005,0.006,0.0036,0.0069,1.0,1.0,1.0,1.0,1.0,1.0,0.077,0.2096,0.6034,0.1099
25,0.0067,0.0011,0.0004,0.0044,0.0031,0.0067,1.0,1.0,1.0,1.0,1.0,1.0,0.0724,0.2052,0.6181,0.1043
26,0.0069,0.0009,0.0004,0.0053,0.0034,0.0069,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.0679,0.2007,0.6325,0.0988
27,0.0064,0.0008,0.0003,0.004,0.0029,0.0064,1.0,1.0,1.0,1.0,1.0,1.0,0.0637,0.1961,0.6467,0.0936
28,0.0074,0.0009,0.0003,0.0041,0.0032,0.0074,1.0,1.0,1.0,1.0,1.0,1.0,0.0597,0.1914,0.6604,0.0885
29,0.0071,0.0008,0.0002,0.0039,0.003,0.0071,1.0,1.0,1.0,1.0,1.0,1.0,0.0559,0.1866,0.6739,0.0836
30,0.0066,0.0008,0.0002,0.004,0.0029,0.0066,1.0,1.0,1.0,1.0,1.0,1.0,0.0523,0.1818,0.687,0.0789
31,0.0061,0.0008,0.0002,0.0034,0.0026,0.0061,1.0,1.0,1.0,1.0,1.0,1.0,0.0488,0.177,0.6997,0.0744
32,0.0065,0.0008,0.0002,0.0045,0.003,0.0065,1.0,1.0,1.0,1.0,1.0,1.0,0.0456,0.1722,0.7121,0.0702
33,0.0067,0.0008,0.0003,0.0048,0.0031,0.0067,1.0,1.0,1.0,1.0,1.0,1.0,0.0425,0.1673,0.7241,0.0661
34,0.0075,0.0009,0.0005,0.0046,0.0034,0.0075,1.0,1.0,1.0,1.0,1.0,1.0,0.0396,0.1625,0.7358,0.0622
35,0.0071,0.0008,0.0002,0.0042,0.0031,0.0071,1.0,1.0,1.0,1.0,1.0,1.0,0.0369,0.1576,0.747,0.0584
36,0.0074,0.0008,0.0002,0.004,0.0031,0.0074,1.0,1.0,1.0,1.0,1.0,1.0,0.0344,0.1528,0.7579,0.0549
37,0.0074,0.0008,0.0002,0.0037,0.003,0.0074,1.0,1.0,1.0,1.0,1.0,1.0,0.032,0.1481,0.7684,0.0515
38,0.0081,0.0008,0.0002,0.0059,0.0037,0.0081,1.0,1.0,1.0,1.0,1.0,1.0,0.0297,0.1434,0.7785,0.0484
39,0.0078,0.001,0.0002,0.0035,0.0031,0.0078,1.0,1.0,1.0,1.0,1.0,1.0,0.0276,0.1388,0.7883,0.0453
40,0.0077,0.0009,0.0002,0.0039,0.0032,0.0077,1.0,1.0,1.0,1.0,1.0,1.0,0.0257,0.1342,0.7976,0.0425
41,0.0077,0.0007,0.0002,0.0041,0.0032,0.0077,1.0,1.0,1.0,1.0,1.0,1.0,0.0238,0.1297,0.8067,0.0398
42,0.008,0.0009,0.0002,0.0048,0.0035,0.008,1.0,1.0,1.0,1.0,1.0,1.0,0.0221,0.1253,0.8153,0.0373
43,0.0083,0.0008,0.0002,0.0046,0.0035,0.0083,1.0,1.0,1.0,1.0,1.0,1.0,0.0205,0.121,0.8237,0.0349
44,0.0089,0.0009,0.0002,0.0047,0.0037,0.0089,1.0,1.0,1.0,1.0,1.0,1.0,0.019,0.1168,0.8317,0.0326
45,0.009,0.0009,0.0002,0.0041,0.0036,0.009,1.0,1.0,1.0,1.0,1.0,1.0,0.0176,0.1126,0.8393,0.0305
46,0.0095,0.001,0.0002,0.0051,0.0039,0.0095,1.0,1.0,1.0,1.0,1.0,1.0,0.0163,0.1086,0.8467,0.0285
47,0.0104,0.001,0.0003,0.0074,0.0048,0.0104,1.0,1.0,1.0,0.9991,0.9998,0.9991,0.0151,0.1046,0.8537,0.0266
48,0.0095,0.0008,0.0001,0.0042,0.0036,0.0095,1.0,1.0,1.0,1.0,1.0,1.0,0.014,0.1008,0.8604,0.0249
49,0.0099,0.0008,0.0001,0.004,0.0037,0.0099,1.0,1.0,1.0,1.0,1.0,1.0,0.0129,0.097,0.8668,0.0232
50,0.0111,0.0009,0.0001,0.0056,0.0044,0.0111,1.0,1.0,1.0,1.0,1.0,1.0,0.012,0.0934,0.873,0.0216
51,0.0112,0.001,0.0001,0.0054,0.0044,0.0112,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.0111,0.0899,0.8789,0.0202
52,0.0115,0.001,0.0001,0.0061,0.0047,0.0115,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.0102,0.0865,0.8845,0.0188
53,0.0108,0.001,0.0001,0.0051,0.0042,0.0108,1.0,1.0,1.0,1.0,1.0,1.0,0.0095,0.0831,0.8899,0.0175
54,0.011,0.0009,0.0002,0.0063,0.0046,0.011,1.0,1.0,1.0,1.0,1.0,1.0,0.0087,0.0799,0.895,0.0163
55,0.0127,0.001,0.0002,0.0073,0.0053,0.0127,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.0081,0.0768,0.8999,0.0152
56,0.0156,0.0017,0.0002,0.0077,0.0063,0.0156,0.9989,1.0,1.0,1.0,0.9997,0.9989,0.0075,0.0738,0.9045,0.0142
57,0.0132,0.0011,0.0001,0.006,0.0051,0.0132,1.0,1.0,1.0,1.0,1.0,1.0,0.0069,0.0709,0.909,0.0132
58,0.0149,0.0012,0.0001,0.0079,0.006,0.0149,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.0064,0.0681,0.9132,0.0123
59,0.0132,0.0011,0.0001,0.0069,0.0053,0.0132,1.0,1.0,1.0,1.0,1.0,1.0,0.0059,0.0654,0.9173,0.0115
60,0.0133,0.0009,0.0001,0.0062,0.0051,0.0133,1.0,1.0,1.0,1.0,1.0,1.0,0.0055,0.0627,0.9211,0.0107
61,0.0152,0.0012,0.0001,0.0081,0.0061,0.0152,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.0602,0.9248,0.0099
62,0.0152,0.0013,0.0001,0.0071,0.0059,0.0152,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.0047,0.0578,0.9283,0.0092
63,0.0173,0.0015,0.0001,0.0083,0.0068,0.0173,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.0043,0.0554,0.9317,0.0086
64,0.0167,0.0011,0.0001,0.0081,0.0065,0.0167,1.0,1.0,1.0,1.0,1.0,1.0,0.004,0.0532,0.9349,0.008
65,0.017,0.0012,0.0001,0.0081,0.0066,0.017,1.0,1.0,1.0,1.0,1.0,1.0,0.0037,0.051,0.9379,0.0074
66,0.0189,0.0012,0.0001,0.0092,0.0073,0.0189,0.9991,1.0,1.0,1.0,0.9998,0.9991,0.0034,0.0489,0.9408,0.0069
67,0.0204,0.0013,0.0001,0.0111,0.0082,0.0204,0.9986,1.0,1.0,1.0,0.9996,0.9986,0.0031,0.0469,0.9435,0.0065
68,0.0191,0.0013,0.0001,0.0098,0.0076,0.0191,0.9991,1.0,1.0,1.0,0.9998,0.9991,0.0029,0.0449,0.9462,0.006
69,0.0192,0.0015,0.0001,0.0094,0.0075,0.0192,1.0,1.0,1.0,1.0,1.0,1.0,0.0027,0.0431,0.9487,0.0056
70,0.0194,0.0012,0.0001,0.0096,0.0076,0.0194,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.0025,0.0413,0.9511,0.0052
71,0.021,0.0013,0.0001,0.0102,0.0081,0.021,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.0023,0.0395,0.9533,0.0048
72,0.0225,0.0015,0.0001,0.0099,0.0085,0.0225,0.9986,1.0,1.0,1.0,0.9996,0.9986,0.0021,0.0379,0.9555,0.0045
73,0.0235,0.0014,0.0001,0.0125,0.0094,0.0235,0.9989,1.0,1.0,1.0,0.9997,0.9989,0.002,0.0363,0.9576,0.0042
74,0.024,0.0019,0.0001,0.011,0.0092,0.024,0.9989,1.0,1.0,1.0,0.9997,0.9989,0.0018,0.0348,0.9595,0.0039
75,0.0239,0.0016,0.0001,0.0109,0.0091,0.0239,0.9991,1.0,1.0,1.0,0.9998,0.9991,0.0017,0.0333,0.9614,0.0036
