epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
38,0.3684,0.4323,0.4971,0.4319,0.4324,0.4971,0.9643,0.9457,0.8393,0.8685,0.9044,0.8393,0.1493,0.3506,0.1018,0.3982
39,0.3664,0.4279,0.4897,0.4234,0.4268,0.4897,0.9686,0.9348,0.8214,0.8817,0.9016,0.8214,0.1468,0.3525,0.1014,0.3992
40,0.3652,0.4216,0.4864,0.4167,0.4225,0.4864,0.966,0.9348,0.8393,0.878,0.9045,0.8393,0.1446,0.3546,0.1003,0.4005
41,0.3644,0.421,0.4784,0.414,0.4194,0.4784,0.9637,0.9402,0.8393,0.8808,0.906,0.8393,0.1425,0.3577,0.0986,0.4013
42,0.3581,0.4134,0.4744,0.4098,0.4139,0.4744,0.9654,0.9402,0.8214,0.8798,0.9017,0.8214,0.1408,0.3588,0.097,0.4034
43,0.3558,0.4093,0.4705,0.4005,0.409,0.4705,0.964,0.9457,0.8214,0.8827,0.9034,0.8214,0.1393,0.3603,0.0949,0.4056
44,0.3523,0.4058,0.4643,0.3994,0.4055,0.4643,0.9646,0.9402,0.8393,0.8798,0.906,0.8393,0.1375,0.3623,0.0932,0.4071
45,0.3502,0.4014,0.4722,0.3952,0.4047,0.4722,0.964,0.9565,0.8393,0.8827,0.9106,0.8393,0.1358,0.3628,0.093,0.4083
46,0.3505,0.3975,0.4564,0.3896,0.3985,0.4564,0.9631,0.9511,0.8393,0.8865,0.91,0.8393,0.1345,0.3627,0.093,0.4098
47,0.3506,0.3927,0.444,0.3823,0.3924,0.444,0.9583,0.9457,0.8571,0.894,0.9138,0.8571,0.1332,0.3639,0.0921,0.4109
48,0.3478,0.3943,0.4412,0.3809,0.391,0.4412,0.9631,0.9402,0.8571,0.8836,0.911,0.8571,0.1318,0.3664,0.091,0.4108
49,0.3418,0.3756,0.4338,0.3752,0.3816,0.4338,0.9623,0.9511,0.8571,0.8903,0.9152,0.8571,0.1306,0.3673,0.09,0.4121
50,0.3414,0.3751,0.4193,0.37,0.3764,0.4193,0.9634,0.9565,0.8571,0.8921,0.9173,0.8571,0.1293,0.3685,0.09,0.4122
51,0.3399,0.3722,0.4232,0.3664,0.3754,0.4232,0.96,0.9511,0.8571,0.8893,0.9144,0.8571,0.1284,0.3697,0.0887,0.4131
52,0.336,0.3638,0.4307,0.365,0.3739,0.4307,0.9631,0.9402,0.8571,0.8874,0.912,0.8571,0.1276,0.3703,0.0872,0.4149
53,0.3326,0.3559,0.4274,0.3619,0.3694,0.4274,0.9637,0.9674,0.8571,0.8884,0.9191,0.8571,0.1265,0.3708,0.0874,0.4153
54,0.331,0.3578,0.4125,0.3568,0.3645,0.4125,0.9643,0.9511,0.8571,0.8959,0.9171,0.8571,0.1257,0.3714,0.0866,0.4163
